"","1","2","3","4","5","6"
"204639_at",8.47354910679951,8.25474152856508,10.2597921741335,10.5276979729316,9.48144792573241,9.70892294818902
"203440_at",5.14090087309778,4.92896606273903,7.44264560254682,5.95698993479699,6.5849695407532,6.15417558491229
"222880_at",6.06692248935589,6.4812694403481,8.19238201878582,7.88755162000027,7.18197336138387,7.00554014043087
"227647_at",4.82766666005949,4.6869153144176,5.36779593845064,7.73585852704376,5.82985022360468,7.87692517220146
"226255_at",10.7868643570464,10.5226306689596,11.2321662598652,11.3808771608856,11.3881749540906,11.473740587633
"225220_at",12.7289391229746,12.9839086164384,11.8301055760126,11.994651258063,11.8609471436642,11.964110540118
"203256_at",11.88924349068,12.2632431129553,12.9055985696071,13.2502417847085,12.3168520545457,12.7001420244098
"228130_at",7.31432950586731,7.34866160696624,6.73008586565037,6.801135345221,6.53803637168812,6.57983929368943
"222314_x_at",5.24792366846092,4.73855819879678,5.8518604441032,5.35626072321204,5.49275785933762,4.75361119243562
"228107_at",6.41398634975109,7.51538545844452,5.27867155153294,5.25880632051345,5.16328296258928,5.42132204950852
"244741_s_at",6.93386603916431,7.13263662634129,8.01847129998219,7.87147323170759,9.71356893597452,9.51456853177105
"227893_at",6.6818129218393,6.92448265021146,5.95601312933673,6.38134021646205,6.24800631796134,6.54216417440555
"235174_s_at",7.85487849959341,8.44723239390745,7.55708696098548,7.26827669435142,7.3592903226024,7.15701316000209
"236118_at",4.80791856841815,4.23922436715682,4.53195368996995,4.47221175019383,4.96979829449286,4.95024618734942
"229691_at",6.69477424068157,6.08474538999857,6.90705103106286,6.8763294766539,7.32336641755716,7.2243367776797
"225214_at",6.35253117489086,7.04391308969907,6.27656142897968,6.75701250609863,6.08853449444718,6.59550208258824
"229699_at",9.12691553131407,10.3879494715052,9.68726354277254,10.6049586104144,9.62275117315203,10.2733022489605
"236387_at",4.68166974721947,4.26996176606612,4.9056160321244,5.03020950970357,4.39058331087323,5.02505946654751
"239128_at",6.14321333756053,5.53761028042151,6.17227455160158,6.18758794868853,5.70810454647535,5.98301415111856
"238214_at",6.80412186713179,7.83062724528919,6.98480748096171,7.31130161015245,7.33100165293482,7.48435714807675
"235443_at",7.36393906591752,7.70860825308266,6.73951537099009,6.61459920409516,7.96294868038471,8.27383868241129
"230195_at",8.99429139054091,8.93268469020087,4.16633076950605,4.44104970477282,5.37202304041598,5.12417086226584
"226482_s_at",11.4758900023739,11.4061808314562,10.614245820249,10.3746250605142,10.545338617221,10.4701163940838
"227074_at",8.98560802757914,8.99799353778892,8.58682970615611,8.27034880596091,7.7005867836205,7.16173541992216
"227444_at",4.82870929699061,6.06443243924577,6.09617897814277,6.21614766407794,6.1811047385063,6.40691084851164
"226006_at",8.55008939686034,8.20108218277253,9.01722228572863,8.97230941077658,9.18441230902025,9.05912555421209
"235902_at",5.54078656274167,6.05115347437814,5.36777100364723,5.47332620645546,6.20315570139818,6.43102336953594
"1569898_a_at",5.37041185903589,5.5258826344294,6.10536988985438,5.98560242594321,6.08157596564868,5.74056309544348
"227234_at",5.19278685944188,5.12462701090056,5.75884515893847,5.95101747047816,5.57999510643543,5.88781082997816
"209772_s_at",12.7752479043324,11.7500307958303,12.4366355963371,12.1561638870606,12.5697088881394,12.3059412374224
"236981_at",4.2303736181484,4.37606841018701,4.80528530365603,5.05519715597831,4.65888415515017,4.92806522881326
"1558143_a_at",7.68553673663134,7.87637793407596,9.05362836296093,8.95590571215424,8.93332931264143,8.81241781441811
"220227_at",7.64265640528577,8.31390721780636,6.13561086059544,5.52619620194812,5.33432526437753,5.29903318280115
"235217_at",7.43557687858706,7.83349998776199,6.46587165699853,6.77227641187303,6.78217687883001,7.06421262779127
"219889_at",6.70755152351326,5.80174921765715,6.8394881243899,6.67963260793644,7.05207972036075,7.056643129423
"1568596_a_at",7.14994828974122,7.0633566951264,6.42633597484241,6.46823045970064,6.58235069568212,6.62521628610399
"227639_at",7.93351195411209,8.21827711072208,8.34880537014059,8.58781929950207,8.88857004115432,9.07590467008245
"243785_at",3.85824218898694,4.20746403207827,3.60337045135711,3.39501586324297,3.30397331296723,3.19548200419071
"235736_at",4.93908098209239,5.15659264785384,3.85790414897555,4.39076232709834,4.29648819274365,4.34314995427992
"232752_at",6.36733814192709,6.95022518312518,4.98658299463946,5.22362767525968,5.51590069205558,5.83776596350262
"1554609_at",5.21288707263613,4.36981837935641,5.83053131052052,5.39750410421281,6.74903661462595,6.35200392280455
"226125_at",7.03469093674715,8.63610526865889,6.97640168715546,9.36844097742275,7.2172137068414,9.62882459017211
"219987_at",6.47519745930718,7.96896282178822,6.72332966929086,8.08306093518603,6.13915104087319,6.63553386653462
"236656_s_at",6.3400329493455,6.47584033688393,6.23684775249175,6.96249881772519,5.82398595035702,6.34514480305597
"241484_x_at",4.25368251354303,4.04070895931167,4.46348315196959,5.1788757361127,4.49579522683888,4.84045338443673
"239896_at",6.91861309480538,7.2303598075256,6.58947855435763,6.66400470459697,7.04675726888655,7.38544180643711
"221963_x_at",7.62331695054185,8.51607834365782,8.10722840920027,8.34467439282971,8.19961695008514,8.35514351939297
"228543_at",8.84310828046718,9.48069621685308,9.36906079877988,9.62038146549109,9.75403449158564,9.78924679117425
